date,portfolio_value,cash,open_positions_val,open_count,nifty_value,peak,drawdown,nifty_peak,nifty_drawdown
2025-02-27,1113442.0348540973,1015955.9190398884,97486.11581420898,1,1159486.257007303,1166088.1638691898,-4.514764032970519,1348284.8581181858,-14.002871868960307
2025-02-28,1112955.185107745,1112955.185107745,0.0,0,1137867.6825113145,1166088.1638691898,-4.556514713702659,1348284.8581181858,-15.606284854415154
2025-03-03,1106352.7012820614,742187.7996707333,364164.9016113281,1,1137590.0422366797,1166088.1638691898,-5.122722658372634,1348284.8581181858,-15.626876962452494
2025-03-04,1106564.267600831,1106564.267600831,0.0,0,1135705.121920644,1166088.1638691898,-5.104579405973286,1348284.8581181858,-15.766678303740747
2025-03-05,1106564.267600831,1106564.267600831,0.0,0,1148801.7270751903,1166088.1638691898,-5.104579405973286,1348284.8581181858,-14.795325323271523
2025-03-06,1106564.267600831,1106564.267600831,0.0,0,1159468.1762368854,1166088.1638691898,-5.104579405973286,1348284.8581181858,-14.004212889020623
2025-03-07,1106564.267600831,1106564.267600831,0.0,0,1159869.3684427072,1166088.1638691898,-5.104579405973286,1348284.8581181858,-13.97445714390443
2025-03-10,1106564.267600831,1106564.267600831,0.0,0,1155127.5859519646,1166088.1638691898,-5.104579405973286,1348284.8581181858,-14.326147104834556
2025-03-11,1106564.267600831,1106564.267600831,0.0,0,1157061.324348128,1166088.1638691898,-5.104579405973286,1348284.8581181858,-14.182725009383432
2025-03-12,1106564.267600831,1106564.267600831,0.0,0,1155652.1291915243,1166088.1638691898,-5.104579405973286,1348284.8581181858,-14.287242622862411
2025-03-13,1106564.267600831,1106564.267600831,0.0,0,1151882.2885594529,1166088.1638691898,-5.104579405973286,1348284.8581181858,-14.566845305438934
2025-03-17,1106564.267600831,1106564.267600831,0.0,0,1157619.3170129603,1166088.1638691898,-5.104579405973286,1348284.8581181858,-14.141339640299691
2025-03-18,1106564.267600831,738352.8228986827,368211.44470214844,1,1174362.3113171158,1166088.1638691898,-5.104579405973286,1348284.8581181858,-12.899540164221332
2025-03-19,1100790.0658186045,738352.8228986827,362437.2429199219,1,1178132.051500463,1166088.1638691898,-5.599756525606095,1348284.8581181858,-12.619944931756244
2025-03-20,1099684.7201371319,1099684.7201371319,0.0,0,1192689.2815585786,1166088.1638691898,-5.6945474441422235,1348284.8581181858,-11.540259880747561
2025-03-21,1096210.6027054912,734777.3666215069,361433.2360839844,1,1200905.1836363403,1166088.1638691898,-5.9924766693316105,1348284.8581181858,-10.930900365338575
2025-03-24,1091556.9410660858,1091556.9410660858,0.0,0,1216742.9340349208,1166088.1638691898,-6.39155984190787,1348284.8581181858,-9.756241293613527
2025-03-25,1091556.9410660858,1091556.9410660858,0.0,0,1217272.7006081566,1166088.1638691898,-6.39155984190787,1348284.8581181858,-9.716949405846186
2025-03-26,1091556.9410660858,1091556.9410660858,0.0,0,1207922.7324303128,1166088.1638691898,-6.39155984190787,1348284.8581181858,-10.410420679482952
2025-03-27,1091556.9410660858,1091556.9410660858,0.0,0,1213327.978746657,1166088.1638691898,-6.39155984190787,1348284.8581181858,-10.009522732450572
2025-03-28,1091556.9410660858,1091556.9410660858,0.0,0,1209594.1992066961,1166088.1638691898,-6.39155984190787,1348284.8581181858,-10.286450825017909
2025-04-01,1091556.9410660858,1091556.9410660858,0.0,0,1191406.0491025508,1166088.1638691898,-6.39155984190787,1348284.8581181858,-11.635435054473
2025-04-02,1091556.9410660858,1091556.9410660858,0.0,0,1199976.8365241205,1166088.1638691898,-6.39155984190787,1348284.8581181858,-10.99975429532452
2025-04-03,1091556.9410660858,1091556.9410660858,0.0,0,1195746.7398361962,1166088.1638691898,-6.39155984190787,1348284.8581181858,-11.313493388547618
2025-04-04,1080648.8838785859,1080648.8838785859,0.0,0,1177970.0277077763,1166088.1638691898,-7.327000019201668,1348284.8581181858,-12.63196196151899
2025-04-07,1080648.8838785859,1080648.8838785859,0.0,0,1139765.4602640916,1166088.1638691898,-7.327000019201668,1348284.8581181858,-15.46552989886178
2025-04-08,1080648.8838785859,1080648.8838785859,0.0,0,1159013.0430659845,1166088.1638691898,-7.327000019201668,1348284.8581181858,-14.03796934398342
2025-04-09,1086625.8008707734,720729.7989176484,365896.001953125,1,1151982.6368352706,1166088.1638691898,-6.8144386900174725,1348284.8581181858,-14.559402644104164
2025-04-11,1093628.7061442109,720729.7989176484,372898.9072265625,1,1174066.5902720634,1166088.1638691898,-6.21389187971445,1348284.8581181858,-12.921473292318991
2025-04-15,1098066.7256754609,720729.7989176484,377336.9267578125,1,1199781.4637548858,1166088.1638691898,-5.833301486229601,1348284.8581181858,-11.01424476208741
2025-04-16,1097916.8829020234,720729.7989176484,377187.083984375,1,1205369.2254037235,1166088.1638691898,-5.8461515243382385,1348284.8581181858,-10.599809962557243
2025-04-17,1102244.028976242,1102244.028976242,0.0,0,1226684.3443028699,1166088.1638691898,-5.47506928473632,1348284.8581181858,-9.018903763781411
2025-04-21,1102244.028976242,1102244.028976242,0.0,0,1240770.9720865048,1166088.1638691898,-5.47506928473632,1348284.8581181858,-7.974122484898269
2025-04-22,1102244.028976242,1102244.028976242,0.0,0,1242915.5523554825,1166088.1638691898,-5.47506928473632,1348284.8581181858,-7.815062605521526
2025-04-23,1102244.028976242,1102244.028976242,0.0,0,1251231.7022603373,1166088.1638691898,-5.47506928473632,1348284.8581181858,-7.198267878889221
2025-04-24,1101387.6904752655,915265.3149869842,186122.37548828125,1,1247001.6055724132,1166088.1638691898,-5.548506142043503,1348284.8581181858,-7.512006972112303
2025-04-25,1100390.6354215546,915265.3149869842,185125.3204345703,1,1236337.6676288315,1166088.1638691898,-5.634010401893171,1348284.8581181858,-8.302933153577063
2025-04-28,1099097.3157194061,915265.3149869842,183832.00073242188,1,1251208.5990536928,1166088.1638691898,-5.744921372626043,1348284.8581181858,-7.199981404521837
2025-04-29,1101434.8096158905,915265.3149869842,186169.49462890625,1,1251591.7104890968,1166088.1638691898,-5.544465354898502,1348284.8581181858,-7.171566679465978
2025-04-30,1101256.8158414764,915265.3149869842,185991.5008544922,1,1251501.708431907,1166088.1638691898,-5.559729533022346,1348284.8581181858,-7.178241979321785
2025-05-02,1101838.236739914,915265.3149869842,186572.9217529297,1,1252144.5802689777,1166088.1638691898,-5.509868732059554,1348284.8581181858,-7.130561266065986
2025-05-05,1101387.3547819061,915265.3149869842,186122.03979492188,1,1258030.7750784303,1166088.1638691898,-5.548534930034821,1348284.8581181858,-6.693992185429121
