ticker,symbol,company_name,entry_date,entry_price,qty,exit_date,exit_price,exit_reason,pnl,pnl_pct,holding_days,year
SHRIRAMFIN.NS,SHRIRAMFIN,Shriram Finance Ltd.,2024-06-03,485.4942321777344,458,2024-06-04,461.19439392089845,Stop Loss Hit,-11129.325921630854,-5.005175478158927,1,2024
HINDALCO.NS,HINDALCO,Hindalco Industries Ltd.,2024-06-05,682.693115234375,388,2024-06-19,661.8560033754057,Stop Loss Hit,-8084.79940128007,-3.05219305629231,14,2024
NESTLEIND.NS,NESTLEIND,Nestle India Ltd.,2024-06-05,1223.8341064453125,294,2024-06-20,1220.0188495189966,Stop Loss Hit,-1121.6855363368736,-0.31174624944858753,15,2024
ONGC.NS,ONGC,Oil & Natural Gas Corporation Ltd.,2024-06-11,246.43402099609375,3,2024-06-20,243.28802044942512,Stop Loss Hit,-9.438001640005893,-1.2766096718108977,9,2024
AXISBANK.NS,AXISBANK,Axis Bank Ltd.,2024-06-05,1181.66455078125,294,2024-06-25,1252.5644238281252,Target Hit (1:2 RR),20844.562675781308,6.000000000000017,20,2024
BHARTIARTL.NS,BHARTIARTL,Bharti Airtel Ltd.,2024-06-21,1379.17041015625,262,2024-06-28,1461.920634765625,Target Hit (1:2 RR),21680.558847656244,5.999999999999998,7,2024
ASIANPAINT.NS,ASIANPAINT,Asian Paints Ltd.,2024-07-10,2933.9033203125,117,2024-07-18,2875.0031406962225,Stop Loss Hit,-6891.321015104462,-2.0075705701851074,8,2024
MARUTI.NS,MARUTI,Maruti Suzuki India Ltd.,2024-07-09,12446.6025390625,23,2024-07-22,12100.181735435117,Stop Loss Hit,-7967.6784834298105,-2.783255933016048,13,2024
TATACONSUM.NS,TATACONSUM,Tata Consumer Products Ltd.,2024-07-03,1128.3685302734375,329,2024-07-23,1196.0706420898437,Target Hit (1:2 RR),22273.994787597625,5.999999999999992,20,2024
NTPC.NS,NTPC,NTPC Ltd.,2024-07-23,360.6953125,1036,2024-07-29,382.33703125,Target Hit (1:2 RR),22420.820624999997,5.999999999999999,6,2024
TITAN.NS,TITAN,Titan Company Ltd.,2024-07-23,3445.143310546875,69,2024-08-05,3368.2662758693186,Stop Loss Hit,-5304.515392751389,-2.2314611540892058,13,2024
SHRIRAMFIN.NS,SHRIRAMFIN,Shriram Finance Ltd.,2024-07-26,568.9754638671875,494,2024-08-05,554.7371389061684,Stop Loss Hit,-7033.732530743429,-2.50244973030026,10,2024
EICHERMOT.NS,EICHERMOT,Eicher Motors Ltd.,2024-08-09,4719.34521484375,79,2024-08-14,4655.676937710002,Stop Loss Hit,-5029.7938935661105,-1.3490913301593723,5,2024
INDIGO.NS,INDIGO,InterGlobe Aviation Ltd.,2024-08-22,4475.58642578125,75,2024-08-28,4775.53408203125,Target Hit (1:2 RR),22496.07421875003,6.701862677082413,6,2024
SBILIFE.NS,SBILIFE,SBI Life Insurance Company Ltd.,2024-08-20,1755.5137939453125,204,2024-09-02,1865.4764404296875,Target Hit (1:2 RR),22432.3798828125,6.263844058852238,13,2024
TMPV.NS,TMPV,Tata Motors Passenger Vehicles Ltd.,2024-08-29,1102.9393310546875,247,2024-09-04,1063.5806225567405,Stop Loss Hit,-9721.6009989929,-3.5685288745945924,6,2024
JIOFIN.NS,JIOFIN,Jio Financial Services Ltd.,2024-09-02,343.55841064453125,628,2024-09-09,332.7299545548196,Stop Loss Hit,-6800.270424338925,-3.1518530049655857,7,2024
CIPLA.NS,CIPLA,Cipla Ltd.,2024-09-27,1639.442138671875,234,2024-10-03,1608.8707723588143,Stop Loss Hit,-7153.699717256206,-1.8647420114397457,6,2024
TECHM.NS,TECHM,Tech Mahindra Ltd.,2024-10-01,1525.9755859375,251,2024-10-04,1512.613996367705,Stop Loss Hit,-3353.7589820185167,-0.8756096554183104,3,2024
WIPRO.NS,WIPRO,Wipro Ltd.,2024-10-14,254.66578674316406,1498,2024-10-15,247.02581314086913,Stop Loss Hit,-11444.680456237806,-3.000000000000003,1,2024
WIPRO.NS,WIPRO,Wipro Ltd.,2024-10-18,254.2487335205078,1485,2024-11-04,253.20481178293466,Stop Loss Hit,-1550.2237802961386,-0.41059073259413276,17,2024
JSWSTEEL.NS,JSWSTEEL,JSW Steel Ltd.,2024-11-05,991.1228637695312,381,2024-11-08,970.6523207328036,Stop Loss Hit,-7799.27689699325,-2.06538904358156,3,2024
SBIN.NS,SBIN,State Bank of India,2024-10-29,801.8554077148438,347,2024-11-12,794.1535645077971,Stop Loss Hit,-2672.5395928451826,-0.9605027456253771,14,2024
LT.NS,LT,Larsen & Toubro Ltd.,2024-10-31,3554.115234375,86,2024-11-13,3499.9531673267543,Stop Loss Hit,-4657.937766149132,-1.5239254632037909,13,2024
EICHERMOT.NS,EICHERMOT,Eicher Motors Ltd.,2024-11-14,4771.22265625,78,2024-11-28,4756.841892766022,Stop Loss Hit,-1121.699551750262,-0.3014062541210443,14,2024
BEL.NS,BEL,Bharat Electronics Ltd.,2024-11-25,288.44561767578125,889,2024-11-29,305.75235473632813,Target Hit (1:2 RR),15385.689246826176,6.000000000000002,4,2024
JIOFIN.NS,JIOFIN,Jio Financial Services Ltd.,2024-11-25,321.9926452636719,1165,2024-12-04,341.3122039794922,Target Hit (1:2 RR),22507.28590393069,6.000000000000007,9,2024
HCLTECH.NS,HCLTECH,HCL Technologies Ltd.,2024-12-30,1791.970947265625,214,2025-01-01,1775.8920666482122,Stop Loss Hit,-3440.8804521263346,-0.897273510039189,2,2025
ADANIENT.NS,ADANIENT,Adani Enterprises Ltd.,2024-12-30,2589.90771484375,90,2025-01-06,2500.1219446249065,Stop Loss Hit,-8080.719319695913,-3.466755579909159,7,2025
BAJAJFINSV.NS,BAJAJFINSV,Bajaj Finserv Ltd.,2025-01-02,1698.37255859375,144,2025-01-15,1655.375309067551,Stop Loss Hit,-6191.603931772668,-2.5316735900279,13,2025
BAJFINANCE.NS,BAJFINANCE,Bajaj Finance Ltd.,2025-01-02,729.9015502929688,283,2025-01-15,705.4820215787818,Stop Loss Hit,-6910.726626114916,-3.345592115044206,13,2025
TCS.NS,TCS,Tata Consultancy Services Ltd.,2025-01-10,3972.7158203125,83,2025-01-16,3907.9325380789583,Stop Loss Hit,-5377.012425383964,-1.630705169050974,6,2025
HDFCLIFE.NS,HDFCLIFE,HDFC Life Insurance Company Ltd.,2025-01-16,637.3603515625,461,2025-01-22,618.749083136414,Stop Loss Hit,-8579.794744425639,-2.9200543115774518,6,2025
WIPRO.NS,WIPRO,Wipro Ltd.,2025-01-20,278.27642822265625,1353,2025-01-23,294.9730139160156,Target Hit (1:2 RR),22590.480443115186,5.999999999999987,3,2025
ONGC.NS,ONGC,Oil & Natural Gas Corporation Ltd.,2025-01-03,240.8031463623047,1011,2025-01-24,241.09704302752834,Stop Loss Hit,297.1295285411161,0.12204851542158356,21,2025
ULTRACEMCO.NS,ULTRACEMCO,UltraTech Cement Ltd.,2025-01-23,11121.9453125,34,2025-01-28,10788.286953125,Stop Loss Hit,-11344.384218750005,-3.0000000000000013,5,2025
LT.NS,LT,Larsen & Toubro Ltd.,2025-01-31,3500.248291015625,107,2025-02-01,3395.2408422851563,Stop Loss Hit,-11235.79701416015,-2.9999999999999987,1,2025
BHARTIARTL.NS,BHARTIARTL,Bharti Airtel Ltd.,2025-02-07,1642.1815185546875,226,2025-02-18,1629.3233350931005,Stop Loss Hit,-2905.9494623186692,-0.7829940427598858,11,2025
KOTAKBANK.NS,KOTAKBANK,Kotak Mahindra Bank Ltd.,2025-01-20,382.9964294433594,251,2025-02-28,386.4512592344883,Stop Loss Hit,867.1622775733613,0.9020527413663154,39,2025
HDFCBANK.NS,HDFCBANK,HDFC Bank Ltd.,2025-02-28,840.7423706054688,441,2025-03-04,826.2504941725572,Stop Loss Hit,-6390.917506914001,-1.7237000226924573,4,2025
BAJAJFINSV.NS,BAJAJFINSV,Bajaj Finserv Ltd.,2025-03-17,1869.0936279296875,197,2025-03-20,1834.1720672002498,Stop Loss Hit,-6879.547463699229,-1.8683687220162848,3,2025
TITAN.NS,TITAN,Titan Company Ltd.,2025-03-20,3173.107421875,115,2025-03-24,3102.431082126774,Stop Loss Hit,-8127.779071045981,-2.2273541469473175,4,2025
CIPLA.NS,CIPLA,Cipla Ltd.,2025-04-03,1466.13671875,248,2025-04-04,1422.1526171875,Stop Loss Hit,-10908.057187499993,-2.9999999999999982,1,2025
